image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.01,0.0137777,0.033007,0.01,0.940252,0.01,0.01,0.01
img_00007.jpg,0.810183,0.0191922,0.0235492,0.102244,0.01,0.0192922,0.013633,0.01
img_00009.jpg,0.455045,0.249083,0.0278818,0.0151085,0.0104632,0.202646,0.0383967,0.01
img_00018.jpg,0.734145,0.0166075,0.0303918,0.033448,0.0222047,0.0469539,0.0952191,0.0210303
img_00027.jpg,0.341528,0.0167064,0.0110113,0.01,0.01,0.270978,0.122795,0.224905
img_00030.jpg,0.709643,0.0162681,0.01,0.0241172,0.0392964,0.01,0.0976177,0.103084
img_00040.jpg,0.132373,0.0593629,0.0213374,0.0173619,0.01,0.188315,0.31806,0.257811
img_00046.jpg,0.799019,0.01,0.0139453,0.0860564,0.01,0.0106729,0.0699057,0.01
img_00053.jpg,0.952187,0.01,0.01,0.01,0.0213554,0.01,0.01,0.01
img_00071.jpg,0.0983298,0.0544469,0.0608752,0.284945,0.0151643,0.0768787,0.01,0.400045
img_00075.jpg,0.939978,0.01,0.01,0.0106535,0.01,0.0330751,0.01,0.01
img_00102.jpg,0.363859,0.0519374,0.0250631,0.0150613,0.01,0.0913006,0.0468648,0.402535
img_00103.jpg,0.5874,0.155203,0.0209394,0.0436022,0.111102,0.0338225,0.0235212,0.0244086
img_00109.jpg,0.682153,0.0157894,0.01,0.0208562,0.01,0.01,0.0121462,0.244867
img_00119.jpg,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01
img_00120.jpg,0.0830983,0.0221077,0.01,0.01,0.01,0.12153,0.0581037,0.698358
img_00125.jpg,0.640501,0.0423849,0.0192102,0.179705,0.01,0.085685,0.0158104,0.01
img_00128.jpg,0.01,0.121385,0.0148052,0.01,0.01,0.01,0.01,0.861699
img_00129.jpg,0.211151,0.061159,0.0220472,0.0249683,0.01,0.174612,0.235817,0.263737
img_00133.jpg,0.01,0.01,0.01,0.01,0.960614,0.0198922,0.01,0.01
img_00138.jpg,0.633111,0.110516,0.0283686,0.011799,0.035142,0.0176474,0.0120954,0.15132
img_00141.jpg,0.01,0.191839,0.260098,0.012796,0.01,0.01,0.01,0.528736
img_00152.jpg,0.01,0.01,0.0411241,0.01,0.01,0.0114419,0.01,0.921106
img_00161.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98527
img_00164.jpg,0.01,0.01,0.01,0.01,0.9592,0.01,0.01,0.0182912
img_00170.jpg,0.896356,0.01,0.01,0.0446013,0.01,0.0374709,0.01,0.01
img_00171.jpg,0.0514016,0.01,0.0332933,0.166545,0.0374749,0.6829,0.0166502,0.01
img_00172.jpg,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01
img_00175.jpg,0.0865451,0.01,0.040259,0.199056,0.0578067,0.586692,0.0154025,0.01
img_00180.jpg,0.01,0.0144845,0.01,0.01,0.01,0.01,0.01,0.977565
img_00196.jpg,0.01,0.01,0.01,0.01,0.985012,0.01,0.01,0.01
img_00212.jpg,0.0305239,0.043168,0.010336,0.0234235,0.01,0.01,0.01,0.872729
img_00223.jpg,0.847951,0.0165447,0.0651875,0.01,0.01,0.0513733,0.01,0.01
img_00230.jpg,0.414971,0.06921,0.13355,0.0692609,0.036955,0.23894,0.0366729,0.01
img_00232.jpg,0.01,0.0566015,0.01,0.01,0.01,0.01,0.942895,0.01
img_00244.jpg,0.56678,0.245545,0.0326881,0.0346492,0.0184545,0.0869194,0.013327,0.01
img_00272.jpg,0.661202,0.143069,0.130166,0.0106176,0.0111861,0.0152822,0.0188476,0.01
img_00280.jpg,0.668804,0.0213613,0.0134049,0.0157102,0.162939,0.01,0.0248322,0.083277
img_00282.jpg,0.0508651,0.01,0.0361018,0.151937,0.0417964,0.688923,0.0169184,0.01
img_00285.jpg,0.294472,0.01,0.01,0.0127311,0.01,0.221244,0.0445273,0.407918
img_00289.jpg,0.929563,0.01,0.0135028,0.01,0.028508,0.01,0.01,0.0194809
img_00292.jpg,0.16907,0.0317666,0.01,0.0115943,0.01,0.0693728,0.1379,0.567753
img_00302.jpg,0.139499,0.0585238,0.0224301,0.0185066,0.01,0.183844,0.300702,0.270974
img_00311.jpg,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00320.jpg,0.961768,0.01,0.01,0.01,0.010373,0.01,0.01,0.01
img_00331.jpg,0.677408,0.01,0.0248562,0.0119094,0.0309421,0.0539973,0.04514,0.149692
img_00358.jpg,0.282471,0.025373,0.01,0.01,0.01,0.221694,0.0347328,0.411476
img_00374.jpg,0.0876969,0.454338,0.0190219,0.01,0.333023,0.0512543,0.0408569,0.01
img_00375.jpg,0.543816,0.182428,0.115863,0.0226936,0.0106395,0.0979855,0.0199731,0.01
img_00376.jpg,0.43016,0.0176158,0.0306382,0.0109825,0.01,0.140276,0.119709,0.245033
img_00380.jpg,0.49726,0.0629666,0.0288966,0.0107494,0.0101044,0.354191,0.0157569,0.0200747
img_00383.jpg,0.986305,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00398.jpg,0.417829,0.0108708,0.0403886,0.0364877,0.306143,0.01,0.158635,0.0219553
img_00407.jpg,0.938655,0.01,0.01,0.0204519,0.0150712,0.0110852,0.01,0.01
img_00417.jpg,0.0291342,0.0582497,0.0108535,0.0254345,0.01,0.01,0.01,0.854167
img_00432.jpg,0.310503,0.0453985,0.293817,0.0398574,0.191469,0.0808557,0.0224598,0.0156399
img_00442.jpg,0.01,0.01,0.613249,0.01,0.01,0.01,0.01,0.366237
img_00446.jpg,0.902287,0.01,0.0120242,0.0186488,0.0311519,0.0249112,0.01,0.01
img_00469.jpg,0.8981,0.0241986,0.0129923,0.0123144,0.01,0.0345546,0.0100168,0.01
img_00473.jpg,0.981002,0.01,0.01,0.01,0.01,0.01,0.01,0.0159983
img_00483.jpg,0.842422,0.01,0.01,0.0184311,0.0153746,0.0113663,0.0160749,0.0924126
img_00484.jpg,0.437253,0.227922,0.0583952,0.0990241,0.0533797,0.0752104,0.0236762,0.0251394
img_00486.jpg,0.840061,0.0355471,0.0826532,0.0125134,0.01,0.01,0.01,0.01
img_00487.jpg,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01
img_00493.jpg,0.803779,0.01,0.01,0.01,0.16041,0.01,0.01,0.0167501
img_00518.jpg,0.966594,0.01,0.01,0.01,0.0254869,0.01,0.01,0.01
img_00533.jpg,0.332075,0.0848452,0.0168335,0.0198711,0.01,0.108614,0.12343,0.311481
img_00538.jpg,0.857647,0.0137185,0.0239967,0.014993,0.0558636,0.01,0.0212141,0.01
img_00543.jpg,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00550.jpg,0.157196,0.0232595,0.414356,0.0331536,0.28363,0.044559,0.022602,0.0212438
img_00551.jpg,0.92032,0.01,0.01,0.0158896,0.01,0.0411277,0.01,0.01
img_00564.jpg,0.01,0.01,0.0103999,0.01,0.974399,0.01,0.01,0.01
img_00575.jpg,0.426171,0.0544489,0.0415781,0.044282,0.0295092,0.118388,0.116532,0.169091
img_00582.jpg,0.913063,0.0134207,0.01,0.0220967,0.0174412,0.0131249,0.01,0.01
img_00584.jpg,0.491249,0.114196,0.021169,0.0668899,0.0978108,0.0214469,0.0511294,0.13611
img_00587.jpg,0.371486,0.0104677,0.01,0.01,0.01,0.209475,0.0868558,0.300559
img_00590.jpg,0.150187,0.0244761,0.01,0.0118646,0.01,0.130693,0.110634,0.562023
img_00591.jpg,0.191884,0.01,0.01,0.01,0.01,0.0546327,0.039283,0.701198
img_00598.jpg,0.904212,0.01,0.0155324,0.0116193,0.0287546,0.0190605,0.01,0.0110868
img_00599.jpg,0.149957,0.017103,0.01,0.0101164,0.01,0.255071,0.105448,0.453036
img_00612.jpg,0.317261,0.0183052,0.0269782,0.0201882,0.0148204,0.370753,0.18329,0.0484045
img_00618.jpg,0.940904,0.01,0.01,0.01,0.0285409,0.01,0.01,0.0115866
img_00620.jpg,0.953237,0.01,0.01,0.0117705,0.01,0.01,0.01,0.01
img_00642.jpg,0.689559,0.0340602,0.0344795,0.0105361,0.01,0.116063,0.0101583,0.0976542
img_00646.jpg,0.01,0.01,0.108475,0.01,0.01,0.0608407,0.01,0.814645
img_00648.jpg,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00650.jpg,0.274263,0.0349866,0.01,0.0139111,0.01,0.562034,0.0487811,0.0540098
img_00654.jpg,0.409036,0.101524,0.0350203,0.01,0.17692,0.0127688,0.027873,0.2275
img_00664.jpg,0.929181,0.01,0.01,0.0121643,0.0355828,0.01,0.01,0.01
img_00667.jpg,0.01,0.01,0.01,0.01,0.983322,0.01,0.01,0.01
img_00676.jpg,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01
img_00697.jpg,0.01,0.306861,0.177228,0.0152673,0.01,0.01,0.01,0.494578
img_00708.jpg,0.190368,0.0312893,0.0239519,0.0116277,0.01,0.339147,0.0722073,0.326918
img_00716.jpg,0.137887,0.0414841,0.0124487,0.0182446,0.01,0.251952,0.0989911,0.437201
img_00717.jpg,0.570048,0.19607,0.038967,0.0381608,0.01,0.081388,0.0600551,0.01
img_00718.jpg,0.890237,0.01,0.01,0.031634,0.013905,0.0392873,0.01,0.01
img_00723.jpg,0.01,0.01,0.0102451,0.0313413,0.924012,0.01,0.01,0.01
img_00724.jpg,0.555094,0.01,0.01,0.0172514,0.305488,0.01,0.0441114,0.0640352
img_00726.jpg,0.958841,0.01,0.01,0.01,0.01,0.01,0.0241166,0.01
img_00729.jpg,0.892029,0.0139212,0.01,0.01,0.0702776,0.01,0.01,0.01
img_00730.jpg,0.294887,0.0158816,0.01,0.01,0.01,0.0638289,0.0458413,0.564686
img_00757.jpg,0.91238,0.01,0.0187033,0.0254424,0.0108318,0.01,0.01,0.01
img_00760.jpg,0.483999,0.116881,0.0354699,0.139184,0.0460302,0.0382079,0.0255132,0.114715
img_00763.jpg,0.01,0.01,0.01,0.01,0.988436,0.01,0.01,0.01
img_00764.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99
img_00765.jpg,0.0399688,0.0204012,0.016849,0.01,0.01,0.840338,0.01,0.0675342
img_00772.jpg,0.01,0.01,0.023715,0.01,0.01,0.01,0.01,0.972749
img_00773.jpg,0.749392,0.0307263,0.0860503,0.0216186,0.01,0.0929321,0.01,0.01
img_00777.jpg,0.72983,0.177133,0.0144217,0.01,0.01,0.0628686,0.01,0.01
img_00780.jpg,0.01,0.01,0.0495428,0.01,0.01,0.02466,0.01,0.90689
img_00798.jpg,0.940708,0.0147621,0.0144381,0.0107569,0.01,0.01,0.01,0.01
img_00808.jpg,0.884532,0.01,0.0232287,0.01,0.0229999,0.0325211,0.01,0.0137814
img_00816.jpg,0.908228,0.01,0.0134922,0.0106732,0.0426681,0.01,0.01,0.0136881
img_00828.jpg,0.01,0.0123235,0.0154161,0.021026,0.923598,0.0109568,0.01,0.0141809
img_00833.jpg,0.125102,0.023527,0.0301601,0.0169169,0.01,0.280717,0.0819946,0.437191
img_00837.jpg,0.83051,0.0926008,0.01,0.0243401,0.0108053,0.0260732,0.01,0.01
img_00855.jpg,0.805852,0.0435266,0.031274,0.0117836,0.0669533,0.01,0.0106026,0.0200488
img_00857.jpg,0.933384,0.0199917,0.01,0.01,0.0182397,0.01,0.0100952,0.01
img_00858.jpg,0.897025,0.0149474,0.0259665,0.01,0.01,0.0336236,0.01,0.0226424
img_00865.jpg,0.857012,0.0791113,0.01,0.0103078,0.01,0.0266549,0.0142942,0.01
img_00876.jpg,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01
img_00889.jpg,0.01,0.01,0.386571,0.01,0.01,0.01,0.01,0.596896
img_00894.jpg,0.844286,0.0138044,0.01,0.01,0.114566,0.01,0.01,0.01
img_00902.jpg,0.01,0.056173,0.01,0.01,0.01,0.01,0.94332,0.01
img_00914.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99
img_00921.jpg,0.447948,0.013143,0.0191569,0.0128036,0.01,0.20626,0.0913793,0.201468
img_00927.jpg,0.152715,0.0234774,0.01,0.0140813,0.01,0.156022,0.0984477,0.544769
img_00943.jpg,0.916145,0.01,0.01,0.013766,0.010382,0.0103035,0.012624,0.0348378
img_00948.jpg,0.192239,0.128179,0.0310644,0.0196517,0.247283,0.01,0.0362798,0.335504
img_00950.jpg,0.0119086,0.0181844,0.0195003,0.0171636,0.790337,0.111461,0.0145394,0.0169056
img_00959.jpg,0.96496,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_00962.jpg,0.01,0.0848168,0.029628,0.01,0.01,0.01,0.01,0.882227
img_00964.jpg,0.01,0.0392722,0.01,0.01,0.01,0.01,0.01,0.951354
img_00966.jpg,0.359467,0.102466,0.0118171,0.0107361,0.0480189,0.048361,0.0183449,0.400788
img_00974.jpg,0.639355,0.194293,0.0232584,0.03337,0.0127316,0.0425515,0.0486992,0.01
img_00979.jpg,0.012694,0.0289132,0.0679681,0.01,0.01,0.01,0.01,0.866961
img_00982.jpg,0.01,0.73338,0.0509376,0.0630199,0.0524777,0.0404401,0.034608,0.0230451
img_00985.jpg,0.146643,0.0261821,0.01,0.0100039,0.01,0.0581424,0.133767,0.614679
img_00999.jpg,0.694778,0.0154359,0.01,0.01,0.01,0.130597,0.0332391,0.110002
img_01022.jpg,0.744181,0.0103578,0.0251708,0.103687,0.0854055,0.0234724,0.01,0.01
img_01031.jpg,0.293606,0.114726,0.0179305,0.0297622,0.0101445,0.47324,0.0200728,0.0405184
img_01035.jpg,0.798841,0.136539,0.0113122,0.01,0.01,0.039466,0.01,0.01
img_01043.jpg,0.0175615,0.01,0.01,0.01,0.944196,0.0188049,0.01,0.01
img_01058.jpg,0.570594,0.01,0.01,0.01,0.01,0.01,0.0190306,0.393928
img_01059.jpg,0.300635,0.0731622,0.01,0.0203137,0.01,0.454503,0.0477239,0.0883375
img_01090.jpg,0.0302024,0.0192191,0.0554562,0.01,0.835341,0.0166956,0.01,0.0350622
img_01102.jpg,0.01,0.0184083,0.01,0.0107879,0.608366,0.010048,0.01,0.336704
img_01103.jpg,0.0404989,0.685755,0.01,0.0199642,0.0128715,0.01,0.0100067,0.223248
img_01116.jpg,0.916583,0.0349795,0.0115496,0.01,0.01,0.0279703,0.01,0.01
img_01134.jpg,0.91438,0.01,0.01,0.0200385,0.01,0.0390113,0.01,0.01
img_01142.jpg,0.931747,0.0132916,0.0196831,0.01,0.01,0.01,0.01,0.0135066
img_01168.jpg,0.0948246,0.010797,0.0342976,0.0202581,0.01,0.518034,0.209335,0.108021
img_01171.jpg,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01
img_01177.jpg,0.947478,0.01,0.0161017,0.01,0.01,0.01,0.01,0.01
img_01179.jpg,0.853182,0.01,0.01,0.0935252,0.0180968,0.0157222,0.01,0.01
img_01188.jpg,0.176616,0.0268613,0.0144617,0.01,0.01,0.705955,0.01,0.0570984
img_01198.jpg,0.01,0.01,0.01,0.01,0.984402,0.01,0.01,0.01
img_01204.jpg,0.01,0.01,0.01,0.01,0.985927,0.01,0.01,0.01
img_01208.jpg,0.01,0.01,0.0928488,0.0227797,0.722796,0.102212,0.01,0.0456619
img_01211.jpg,0.769064,0.0104066,0.01,0.01,0.181878,0.01,0.0134029,0.01
img_01213.jpg,0.785089,0.01,0.01,0.0152672,0.0258757,0.16055,0.01,0.01
img_01222.jpg,0.153648,0.0628436,0.0273943,0.0397671,0.0138858,0.671403,0.0282948,0.01
img_01224.jpg,0.0649603,0.035544,0.127096,0.01,0.01,0.0249648,0.0138172,0.720076
img_01237.jpg,0.427723,0.01,0.0258923,0.0215251,0.471804,0.01,0.0321444,0.0134908
img_01249.jpg,0.562563,0.0184989,0.0202623,0.0440786,0.294426,0.0214893,0.0115822,0.0271001
img_01253.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.981814
img_01286.jpg,0.750886,0.0166181,0.01,0.0615182,0.0385332,0.0324909,0.0208471,0.0723261
img_01289.jpg,0.156088,0.0797179,0.01,0.0161234,0.01,0.61168,0.0576183,0.0673813
img_01325.jpg,0.0110138,0.0184374,0.01,0.01,0.956517,0.01,0.01,0.01
img_01328.jpg,0.697429,0.01,0.0115868,0.0506929,0.154133,0.0743661,0.01,0.01
img_01366.jpg,0.0884195,0.01,0.0381516,0.217396,0.0622702,0.564369,0.0151716,0.01
img_01371.jpg,0.634473,0.136126,0.0512687,0.01,0.123215,0.01,0.0127833,0.0321396
img_01373.jpg,0.7376,0.0785267,0.01,0.01,0.157414,0.01,0.01,0.01
img_01377.jpg,0.320034,0.0573651,0.0429602,0.0154573,0.487943,0.0135725,0.0304934,0.0321747
img_01379.jpg,0.724325,0.0145339,0.0507718,0.0613031,0.0309284,0.0777252,0.0158762,0.0245364
img_01384.jpg,0.141264,0.0191558,0.431218,0.0280163,0.2826,0.0578221,0.0215127,0.018412
img_01388.jpg,0.898805,0.01,0.01,0.01,0.01,0.10008,0.01,0.01
img_01392.jpg,0.01,0.340266,0.018701,0.01,0.01,0.01,0.01,0.637388
img_01399.jpg,0.01,0.408811,0.0106174,0.01,0.01,0.01,0.01,0.578319
img_01404.jpg,0.379152,0.0210421,0.01,0.0408254,0.01,0.0865814,0.0725641,0.386935
img_01405.jpg,0.902918,0.0140285,0.0243535,0.0123658,0.01,0.0290326,0.01,0.01
img_01413.jpg,0.798154,0.01,0.01,0.056614,0.112359,0.01,0.01,0.01
img_01426.jpg,0.01,0.910772,0.01,0.01,0.01,0.01,0.01,0.0706403
img_01431.jpg,0.566344,0.0598851,0.0387384,0.20321,0.0438825,0.0235889,0.0146498,0.0497016
img_01441.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.979199
img_01444.jpg,0.386222,0.0293934,0.0103765,0.0107796,0.01,0.270185,0.0388619,0.250638
img_01490.jpg,0.01,0.162876,0.0447446,0.01,0.01,0.01,0.01,0.789006
img_01495.jpg,0.63653,0.0927341,0.01,0.013537,0.202385,0.0262329,0.0134676,0.01
img_01505.jpg,0.01,0.01,0.01,0.01,0.984777,0.01,0.01,0.01
img_01511.jpg,0.953519,0.01,0.011213,0.01,0.01,0.01,0.01,0.01
img_01519.jpg,0.665842,0.0122699,0.0183923,0.01,0.01,0.104415,0.0667736,0.12098
img_01530.jpg,0.610108,0.0342113,0.0123247,0.0142481,0.25676,0.01,0.0222302,0.0418769
img_01537.jpg,0.569321,0.0152191,0.0436233,0.0201336,0.0182141,0.035139,0.0140876,0.284262
img_01538.jpg,0.718741,0.0703097,0.0343228,0.01,0.0134417,0.128382,0.0279003,0.01
img_01541.jpg,0.01,0.0228882,0.0227229,0.0132042,0.900814,0.0231596,0.01,0.0130599
img_01543.jpg,0.906471,0.01,0.01,0.0144004,0.01,0.01,0.01144,0.0420855
img_01548.jpg,0.922648,0.01,0.01,0.01,0.0455986,0.01,0.01,0.01
img_01552.jpg,0.967424,0.01,0.01,0.01,0.012712,0.01,0.01,0.01
img_01561.jpg,0.01,0.01,0.01,0.01,0.99,0.01,0.01,0.01
img_01562.jpg,0.0582933,0.0162188,0.01,0.01,0.01,0.0884562,0.0510448,0.771545
img_01571.jpg,0.964033,0.01,0.01,0.01,0.01,0.0106636,0.01,0.0148132
img_01593.jpg,0.449426,0.0154863,0.0123795,0.01,0.01,0.214433,0.0729265,0.222909
img_01595.jpg,0.01,0.01,0.01,0.01,0.986336,0.01,0.01,0.01
img_01616.jpg,0.320178,0.0141597,0.01,0.0114032,0.0724918,0.01,0.561563,0.01
img_01618.jpg,0.889376,0.0135612,0.0148894,0.01,0.0143285,0.0459695,0.0155448,0.01
img_01627.jpg,0.983443,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_01632.jpg,0.910898,0.01,0.013957,0.0101742,0.0372735,0.01,0.01,0.0171232
img_01633.jpg,0.154184,0.0642191,0.0182534,0.0360139,0.01,0.506678,0.190622,0.0232169
img_01640.jpg,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_01646.jpg,0.955663,0.01,0.01,0.01,0.0118786,0.0165242,0.01,0.01
img_01647.jpg,0.0996151,0.0412901,0.0124419,0.0414252,0.518964,0.01,0.01,0.272521
img_01649.jpg,0.886509,0.01,0.0154472,0.01,0.054139,0.01,0.01336,0.01
img_01657.jpg,0.01,0.0414709,0.0985032,0.01,0.01,0.01,0.01,0.856065
img_01669.jpg,0.537292,0.0614044,0.0466553,0.185963,0.0529594,0.0224897,0.016869,0.0763677
img_01673.jpg,0.846579,0.0127508,0.01,0.017106,0.0680222,0.01,0.01,0.0324626
img_01681.jpg,0.0396268,0.0104522,0.01,0.01,0.01,0.01,0.01,0.932176
img_01684.jpg,0.164701,0.01,0.0112798,0.0362497,0.106407,0.161601,0.503493,0.0144015
img_01685.jpg,0.0776719,0.01,0.517514,0.0438967,0.3235,0.0119986,0.01,0.01
img_01687.jpg,0.0875428,0.01,0.01,0.01,0.01,0.0809868,0.0310475,0.785056
img_01688.jpg,0.135858,0.0739909,0.01,0.0164574,0.01,0.621279,0.0656946,0.0766354
img_01689.jpg,0.01,0.01,0.0434218,0.01,0.01,0.0268583,0.01,0.909143
img_01716.jpg,0.01,0.0482072,0.0223857,0.0624514,0.71639,0.130335,0.01,0.01
img_01717.jpg,0.01,0.01,0.01,0.0268842,0.935596,0.01,0.01,0.01
img_01724.jpg,0.658295,0.0108696,0.0436619,0.0166072,0.0164252,0.0321551,0.0122087,0.209777
img_01745.jpg,0.574155,0.132429,0.151853,0.0665457,0.0174438,0.0150485,0.0342617,0.01
img_01771.jpg,0.932199,0.0128688,0.01,0.01,0.0147375,0.0264396,0.01,0.01
img_01773.jpg,0.163246,0.0120654,0.01,0.01,0.01,0.109029,0.0233849,0.679764
img_01781.jpg,0.23294,0.0651449,0.0617652,0.323996,0.234131,0.0153587,0.0333509,0.0333131
img_01782.jpg,0.01,0.01,0.01,0.01,0.982613,0.01,0.01,0.01
img_01802.jpg,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_01803.jpg,0.01,0.0311763,0.01,0.01,0.01,0.01,0.01,0.962857
img_01824.jpg,0.181802,0.0872145,0.0232799,0.0362489,0.0100513,0.4729,0.173578,0.0149255
img_01825.jpg,0.01,0.94943,0.0129082,0.01,0.0222704,0.01,0.01,0.01
img_01831.jpg,0.901306,0.01,0.01,0.0389735,0.01,0.0391488,0.01,0.01
img_01834.jpg,0.0776777,0.0365209,0.128984,0.01,0.0101352,0.0368809,0.0224319,0.683022
img_01847.jpg,0.339227,0.0655054,0.0252298,0.0230197,0.01,0.0778394,0.103137,0.362277
img_01853.jpg,0.146706,0.0247903,0.01,0.013679,0.01,0.154906,0.100166,0.550054
img_01856.jpg,0.578605,0.01,0.01,0.01,0.01,0.01,0.01,0.412179
img_01860.jpg,0.556505,0.01,0.0198307,0.01,0.01,0.106117,0.0540961,0.241073
img_01862.jpg,0.682659,0.0109382,0.0430008,0.0168313,0.0156941,0.0338717,0.0117504,0.185255
img_01874.jpg,0.517365,0.01,0.0929736,0.0183496,0.0241196,0.0526756,0.109408,0.180481
img_01888.jpg,0.149105,0.0322967,0.0102853,0.01,0.01,0.706196,0.0143288,0.0798571
img_01918.jpg,0.975121,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_01930.jpg,0.456221,0.0686595,0.0259879,0.0108734,0.01,0.395796,0.0163059,0.0163836
img_01932.jpg,0.889593,0.0262912,0.0139535,0.0137536,0.01,0.0378664,0.0105858,0.01
img_01955.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.985086
img_01963.jpg,0.83794,0.01,0.01,0.01,0.01,0.01,0.01,0.159807
img_01966.jpg,0.608624,0.0418346,0.01,0.074338,0.0775694,0.127684,0.0633713,0.01
img_01976.jpg,0.979009,0.01,0.01,0.01,0.01,0.01,0.01,0.0181473
img_01983.jpg,0.167991,0.0103316,0.111058,0.01,0.618856,0.064511,0.0151379,0.01
img_01984.jpg,0.83616,0.0494605,0.01,0.01,0.01,0.0114721,0.01,0.0878968
img_01995.jpg,0.679745,0.0154159,0.01,0.01,0.01,0.13917,0.0205567,0.124068
img_01996.jpg,0.300679,0.01,0.0537672,0.0167414,0.01,0.297033,0.139176,0.177549
img_02001.jpg,0.432318,0.01,0.0196088,0.01,0.01,0.202683,0.0407137,0.292079
img_02006.jpg,0.735608,0.0559286,0.047863,0.047777,0.01,0.0531556,0.0150357,0.0352093
img_02066.jpg,0.931384,0.0113028,0.01,0.01,0.0295115,0.01,0.01,0.01
img_02074.jpg,0.948628,0.01,0.01,0.0195678,0.01,0.01,0.01,0.01
img_02076.jpg,0.01,0.0615597,0.01,0.01,0.91028,0.01,0.01,0.01
img_02077.jpg,0.182258,0.0101379,0.0352601,0.392151,0.0217342,0.341953,0.0121261,0.01
img_02078.jpg,0.01,0.01,0.01,0.01,0.923554,0.01,0.01,0.0762975
img_02082.jpg,0.147296,0.01,0.01,0.0107865,0.450575,0.01,0.357015,0.0155197
img_02083.jpg,0.0115788,0.01,0.01,0.01,0.960178,0.01,0.01,0.01
img_02096.jpg,0.979857,0.01,0.01,0.01,0.01,0.01,0.01,0.01
img_02119.jpg,0.881444,0.01,0.0535317,0.01,0.01,0.0390916,0.01,0.01
img_02124.jpg,0.119788,0.0294432,0.0243437,0.0195315,0.01,0.617436,0.132133,0.0509022
img_02135.jpg,0.0274516,0.0130217,0.0249604,0.08118,0.813969,0.01,0.0266311,0.01
img_02146.jpg,0.931909,0.01,0.01,0.01,0.0252971,0.01,0.01,0.0221511
img_02159.jpg,0.867932,0.01,0.01,0.0192812,0.0899338,0.01,0.01,0.01
img_02172.jpg,0.585921,0.0171636,0.0460526,0.0205536,0.0173071,0.0400438,0.0150643,0.257894
img_02180.jpg,0.861312,0.0116846,0.01,0.01,0.01,0.0656889,0.0233668,0.0239036
img_02188.jpg,0.544627,0.01,0.01,0.01,0.01,0.0870469,0.0291695,0.310618
